CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\2. CHANGE CONTROL PRINCIPLES,Change Control Principles.gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Change Control Principles.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-04 — Responsibilities Matrix,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-03 — Escalation Flows,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-02 — Decision Authority Matrix,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels,TSI-OS 04-01 — Command Levels (v1.0).gdoc,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-01 — Command Levels (v1.0).gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
