CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
X:\,TSI — ZERO TRUST & ROLE SEGREGATION MODEL.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-ZT-RS_a8327fe0.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
X:\,TSI — WORKER & CONTRACTOR SEPARATION MODEL v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-WC-RS_e353d2a7.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
X:\,TSI — DATA PRIVACY RULES v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-DPR_a518f2e7.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
X:\,TSI — VISION   IMAGE PRIVACY CONTROLS.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-VIPC_49fea6d2.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
X:\,TSI — DEVICE AUTHENTICATION KEYS.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-DAK_5604936e.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
