BatchId,SourceDrive,CurrentPath,CurrentName,CurrentType,ProposedTSI01Path,ProposedName,RenameReason,Confidence
med_2026-03-02_18-28-23,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants,TSI-OS 02-04 — AI Agent Register.gsheet,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_5cd12b89.gsheet,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_18-28-23,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\4. CHANGE LOG FORMAT (OS-07-A TEMPLATE),TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_a4c169bc.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_18-28-23,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\5. MASTER CHANGE REGISTER (OS-07-B),MASTER CHANGE REGISTER (OS-07-B).gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_1593aa5d.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_18-28-23,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\1. SCOPE,OS-07 Change Log Scope.gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_8d041ec2.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_18-28-23,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-03  Division Leads,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_243f7c26.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_18-28-23,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-01  AI Behaviour & Instruction Register (for ChatGPT continuity),AI Behavior Register.gsheet,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_aca57a38.gsheet,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
