"BatchId","SourceDrive","CurrentPath","CurrentName","CurrentType","ProposedTSI01Path","ProposedName","RenameReason","Confidence"
"high_2026-03-02_09-29-46","","G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 8 — SECURITY & AUTHENTICATION\8.3 Worker & Contractor Separation","TSI — WORKER & CONTRACTOR SEPARATION MODEL v1.0 MASTER.gdoc","File","TSI-01 DocControl.GOOGLE\01_Governance\Policies\Security_And_Access_Control\INCOMING\","TSI-WC-RS_114d41f4.gdoc","Decision A canonical security location","High"
"high_2026-03-02_09-29-46","","G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 8 — SECURITY & AUTHENTICATION\8.4 Device Authentication Keys","TSI — DEVICE AUTHENTICATION KEYS.gdoc","File","TSI-01 DocControl.GOOGLE\01_Governance\Policies\Security_And_Access_Control\INCOMING\","TSI-DAK_26cf02f5.gdoc","Decision A canonical security location","High"
